movieId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype
11187,11187,Child's Play 3,Child's Play 3,"Eight years after seemingly destroying the killer doll, teen Andy Barclay is placed in a military school, and the spirit of Chucky returns to renew his quest and seek vengeance after being recreated from a mass of melted plastic.",1991-08-30,/6toMk9OCuDYEEf733Bzlq3yiw3z.jpg,/qjhiDZoyowqfQMSZIiTX5FJBxtU.jpg,5.901,1705,3.4734,MOVIE
609,609,Poltergeist,Poltergeist,"The Freelings' suburban home becomes the center of paranormal activity that opens a portal to the 'other side'. With help, they must cross over to get their daughter back.",1982-06-04,/m5AKo8iZAYulI87Uzxkn87vRY07.jpg,/bvkPno6U02lLyvPWCnmibq4eIaN.jpg,7.2,3242,4.188,MOVIE
11133,11133,Poltergeist II: The Other Side,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religious zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",1986-05-23,/2r22KqmzWV48kF02GN78NaS3q0m.jpg,/bZgwlsf0tO1Pj1e2tZhQQ18fpKF.jpg,5.997,744,3.394,MOVIE
10306,10306,Poltergeist III,Poltergeist III,"Carol Anne has been sent to live with her Aunt and Uncle in an effort to hide her from the clutches of the ghostly Reverend Kane, but he tracks her down and terrorises her in her relatives' appartment in a tall glass building. Will he finally achieve his target and capture Carol Anne again, or will Tangina be able, yet again, to thwart him?",1988-06-10,/pLewUibOJLGISvMqB94mAMdjz2q.jpg,/exQwGehuaGAjqVwSoVfAA8sybna.jpg,5.245,538,0.7993,MOVIE
9552,9552,The Exorcist,The Exorcist,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",1973-12-26,/5x0CeVHJI8tcDx8tUUwYHQSNILq.jpg,/xcjJ5khg2yzOa282mza39Lbrm7j.jpg,7.739,8448,10.2939,MOVIE
11586,11586,Exorcist II: The Heretic,Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a research specialist free her from its grasp?",1977-06-17,/g9i3LTMYLRHvCYSKimZEfd1Vqy7.jpg,/wyRJPq5lUy7V5ETiiwihff9wl3G.jpg,4.547,772,1.8973,MOVIE
11587,11587,The Exorcist III,The Exorcist III,"On the fifteenth anniversary of the exorcism that claimed Father Damien Karras' life, Police Lieutenant Kinderman's world is once again shattered when a boy is found decapitated and savagely crucified.",1990-08-17,/rhSftgj3vwpIDSP8v67N8KEubmz.jpg,/8niELeLUS8IZOPBil76Z0r4TeH.jpg,6.267,831,2.3203,MOVIE
941,941,Lethal Weapon,Lethal Weapon,A veteran cop and an unstable detective become partners who must put their differences aside in order to bring down a heroin-smuggling ring run by ex-Special Forces.,1987-03-06,/6gt44oqb4nE8vflPElffeGwsHVl.jpg,/xinJKZQiqkdJhoYc2SXuEnhehXz.jpg,7.288,4896,6.0508,MOVIE
942,942,Lethal Weapon 2,Lethal Weapon 2,Riggs and Murtaugh are on the trail of South African diplomats using their immunity to engage in criminal activities.,1989-07-07,/ZsUGxTnZ4TzTrHSAfUPJcliL1K.jpg,/zjRkl5PZvFujbRndrNbf4ZKbeNC.jpg,7.025,3642,4.4995,MOVIE
943,943,Lethal Weapon 3,Lethal Weapon 3,Riggs and Murtaugh pursue a former officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.,1992-05-15,/smzJxEnusgqv3bvHIWwf4cuwPcr.jpg,/kmt9XmhmX36sJduuDVFlTgEWh9U.jpg,6.706,3137,4.0659,MOVIE
