movieId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage
11231,11231,The Next Karate Kid,The Next Karate Kid,"Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.",1994-07-18,/wI3gCi9w1cuUJCiwhviAy46we9Q.jpg,/kgqgbPB2snzVlkMkQjYAvmF1hkc.jpg,5.4,1127,3.4168,MOVIE,en
10447,10447,No Escape,No Escape,"In the year 2022, a ruthless prison warden has created the ultimate solution for his most troublesome and violent inmates: Absolom, a secret jungle island where prisoners are abandoned and left to die. But Marine Captain John Robbins, convicted of murdering a commanding officer, is determined to escape the island in order to reveal the truth behind his murderous actions and clear his name.",1994-04-29,/jRwMdEb5bxwVARU2VmOADTflLfZ.jpg,/tgp4OH8lBhXMnj23h2jM8A99DHr.jpg,6.254,463,1.9068,MOVIE,en
31586,31586,North,North,"Eleven-year-old North has had it with his parents. They are always busy with their careers and don't give North the attention he needs, so he files a lawsuit against them. The judge rules that North should either find new parents or return to his own parents within two months. Thus North starts off on a journey around the world to find parents that really care about him.",1994-07-22,/e4JEG7dstmurXMUPOW9Jy6UDR9F.jpg,/gXLwU18p3UrwqT3DLlymTjfCZek.jpg,5.011,273,5.6819,MOVIE,en
9300,9300,Orlando,Orlando,"England, 1600. Queen Elizabeth I promises Orlando, a young nobleman obsessed with poetry, that she will grant him land and fortune if he agrees to satisfy a very particular request.",1992-12-11,/otSCGdKzEeVgbfNl0YslOpRZHgk.jpg,/pm2rPN1yfmVDMVFDFNmn7DEFMqM.jpg,6.903,367,3.1575,MOVIE,en
9559,9559,A Perfect World,A Perfect World,"A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",1993-11-24,/kWX2CYM5TbWaZwll4ysh7OjVUmJ.jpg,/bbHziUiIFiSFYNnPfD1pPfRvyFe.jpg,7.487,1791,4.8755,MOVIE,en
9800,9800,Philadelphia,Philadelphia,"Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops, their courage overcomes the prejudice and corruption of their powerful adversaries.",1993-12-22,/tFe5Yoo5zT495okA49bq1vPPkiV.jpg,/qeuwxIkty0n302HVULQpJhwOMiu.jpg,7.713,4531,6.6865,MOVIE,en
713,713,The Piano,The Piano,"When an arranged marriage brings Ada and her spirited daughter to the wilderness of nineteenth-century New Zealand, she finds herself locked in a battle of wills with both her controlling husband and a rugged frontiersman to whom she develops a forbidden attraction.",1993-05-18,/dUxjG6baSzGIgP7R8BQI5rpMuET.jpg,/c2O99arhWcuLexMHiuRfSuDMpYm.jpg,7.378,1614,10.3342,MOVIE,en
8291,8291,Poetic Justice,Poetic Justice,"Still grieving after the murder of her boyfriend, hairdresser Justice writes poetry to deal with the pain of her loss. Unable to get to Oakland to attend a convention because of her broken-down car, Justice gets a lift with her friend, Iesha, and Iesha's postal worker boyfriend, Chicago. Along for the ride is Chicago's co-worker, Lucky, to whom Justice grows close after some initial problems. But is she ready to open her heart again?",1993-07-23,/fOtMHxhYaCQcu3dwWpg7lz4Bqo0.jpg,/lNvlerKoYwboltmK7hQfgxsYtNP.jpg,6.8,268,1.7622,MOVIE,en
18133,18133,The Program,The Program,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.",1993-09-24,/4pdbutHc9SLEPmdLKtlVffiLByP.jpg,/xuUDm3AGTaCxN9I8x6GxKtBlYfO.jpg,6.368,102,1.2647,MOVIE,en
25557,25557,The Puppet Masters,The Puppet Masters,"The Midwest USA is invaded by stingray-shaped alien slugs that ride on people's backs and control their minds in order to spread their dominion. Government agency reps Sam Givens, Andrew Nivens, and Mary Sefton must stop the aliens.",1994-10-21,/8xJGom6fUqmVhJ7EWprZEHygUis.jpg,/pEpm3o5GM1YU48VrczRP8pdWNAG.jpg,5.8,195,1.8446,MOVIE,en
